﻿"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Hoerner, Nico","663538","97","14.9",36.1,"105.8","85.9","95.7","89.2","85.2","400","170","383","26",26.8,"3",3.1,2.4
"Clement, Ernie","676391","97","14.8",34,"109.7","87.2","96.4","91.2","85.1","372","158",,"26",26.8,"0",0,0
"Simpson, Chandler","802415","96","1",29.2,"106.3","83.2","92.9","85.9","83.2","335","105",,"13",13.5,"0",0,0
"Arraez, Luis","650333","96","13.6",34.4,"98.1","85.9","93.5","87.2","85.7","376","145",,"18",18.8,"0",0,0
"Wilson, Jacob","805779","95","7.9",28.4,"103.7","85.1","96.7","87.5","85.2","386","135","377","33",34.7,"2",2.1,1.8
"Albies, Ozzie","645277","92","16.4",34.8,"107.7","86.2","96.8","90.8","82.6","396","179","379","27",29.3,"3",3.3,2.6
"Bregman, Alex","608324","91","16",26.4,"108.3","90","99.6","93.3","89.6","408","151","395","40",44,"7",7.7,5.7
"Lile, Daylen","695734","91","15.2",41.8,"109.5","88.2","98.8","90.1","85.2","418","185","400","37",41.1,"5",5.5,4.2
"Alvarez, Yordan","670541","88","21.3",47.7,"117.8","94.2","105.8","96","91.2","422","233","390","44",50,"18",20.5,14.9
"Baldwin, Drake","686948","88","13.3",40.9,"110.2","90.5","102","97.4","83.9","438","177","400","41",46.6,"14",15.9,11.2
"Adell, Jo","666176","87","18.1",24.1,"113.2","90.8","102.2","92.4","89.6","445","164","404","41",47.1,"4",4.6,3.4
"Kwan, Steven","680757","87","13.8",34.5,"100.8","82","91.2","85.6","80.9","381","137","381","8",9.2,"1",1.1,0.9
"Edwards, Xavier","669364","86","9.7",36,"105.7","90.6","98.1","93.8","88.5","394","154","377","38",44.2,"5",5.8,4.4
"Ward, Taylor","621493","85","16.6",40,"109.5","90.6","99.9","93","89.2","404","181","394","34",40,"5",5.9,4
"Freeman, Freddie","518692","85","13.1",38.8,"110.3","92.4","101.7","96.5","86.9","438","188","412","42",49.4,"13",15.3,12.4
"Keaschall, Luke","807712","85","17.9",29.4,"105.4","85.2","96.3","90.4","83.6","384","164","367","22",25.9,"3",3.5,2.8
"Bichette, Bo","666182","84","6.7",34.5,"111.5","91.1","101.1","93","91","391","140","344","38",45.2,"3",3.6,2.6
"Díaz, Yandy","650490","84","5.5",26.2,"112.8","89.6","101.7","92.7","89.2","391","140","368","35",41.7,"4",4.8,3.6
"Caminero, Junior","691406","83","15.9",26.5,"116.9","91.6","104.3","95.9","92.1","450","156","407","37",44.6,"10",12,8.8
"Turner, Trea","607208","83","17.8",34.9,"109.7","88.8","97.8","89.5","90.1","423","180","386","28",33.7,"4",4.8,3.4
"McGonigle, Kevin","805808","82","18.5",45.1,"109.5","88.1","99.4","93.8","77.2","408","194","408","31",37.8,"10",12.2,8.8
"Acuña Jr., Ronald","660670","82","16.6",32.9,"112.3","88.6","101.7","96","83.4","411","166","411","35",42.7,"11",13.4,8.9
"Schanuel, Nolan","694384","82","9.6",30.5,"106.6","86.9","96.8","90","85.9","383","139","364","25",30.5,"2",2.4,1.9
"Chapman, Matt","656305","82","4.1",20.7,"113","88","100.6","95.2","85.9","386","121","349","27",33.3,"3",3.7,2.8
"Ramírez, José","608070","82","25.5",37.8,"110.8","90.4","100.9","93.9","88.2","408","214","392","37",45.1,"10",12.2,8.5
"Nimmo, Brandon","607043","81","12.6",35.8,"108.3","90.8","101","95.8","85.7","410","172","396","38",46.9,"10",12.3,8.4
"Altuve, Jose","514888","80","7",33.8,"105.9","85.8","97.8","94.2","80.8","389","141","378","30",37.5,"6",7.5,5.2
"Guerrero Jr., Vladimir","665489","80","5.1",31.3,"116","92.4","103.9","93.4","92.2","437","141","434","36",45,"10",12.5,9.3
"Bogaerts, Xander","593428","80","10.1",35,"110.4","90.2","100.7","94.4","87.3","399","156","385","34",42.5,"6",7.5,5.9
"Burleson, Alec","676475","80","9.4",28.7,"111.6","92","101.7","96.9","88","432","155","423","39",48.8,"9",11.3,8.4
"Witt Jr., Bobby","677951","80","19.1",37.5,"115.6","92.4","104.2","97","92.3","396","182",,"43",53.8,"9",11.3,7.9
"Garcia, Maikel","672580","79","10.7",34.2,"110.2","90.1","100.9","93.1","89.6","412","174","400","35",44.3,"7",8.9,6.4
"Lee, Jung Hoo","808982","79","12.6",36.7,"107.6","88.9","97.6","90.7","88.5","364","169","363","29",36.7,"1",1.3,1
"Olson, Matt","621566","79","15.8",35.4,"111.6","92.1","104.2","98.8","86.7","441","180","416","38",48.1,"14",17.7,11.5
"Hicks, Liam","689414","79","12.9",36.7,"106.5","87.7","98.5","91","85.6","390","167","370","31",39.2,"5",6.3,5.4
"Soderstrom, Tyler","691016","79","14",30.4,"113.2","90.2","102.2","97.7","82.5","420","171","407","38",48.1,"10",12.7,8.8
"Lopez, Otto","672640","79","4.8",24.1,"112.8","92.9","103.4","95.6","90.9","401","152","390","43",54.4,"9",11.4,8.5
"Harper, Bryce","547180","79","15.8",38,"112.5","88.5","101","94.6","82.1","425","182","411","31",39.2,"11",13.9,10
"Naylor, Josh","647304","78","14.6",32.1,"111.5","87.1","98","92.2","86.7","433","149","405","29",37.2,"5",6.4,4.6
"Riley, Austin","663586","78","20.3",28.2,"111.5","90.4","101.2","94.6","88.5","400","164","385","35",44.9,"7",9,6
"Bellinger, Cody","641355","78","19.9",37.2,"105.5","88.3","98.2","90.7","89.1","399","175","384","30",38.5,"6",7.7,5.6
"Giménez, Andrés","665926","78","9.8",28.2,"108.9","87","96.8","90","85.5","406","154","386","23",29.5,"3",3.8,3.1
"Contreras, William","661388","78","12.9",26.9,"111.6","90.6","101.2","96.9","87.2","415","150","397","34",43.6,"6",7.7,5.9
"Rumfield, TJ","681198","78","12.9",39.7,"107.6","86.4","98.6","91.8","80.1","440","180","417","30",38.5,"7",9,6.7
"Marte, Ketel","606466","77","9.1",33.8,"116.9","92.9","104.5","94.5","92.8","443","150","411","38",49.4,"8",10.4,7.7
"Walker, Christian","572233","77","12.3",32.5,"112.2","89.7","101.8","93.4","86.6","422","152","393","36",46.8,"9",11.7,8.2
"Marsee, Jakob","805300","77","17.6",29.9,"110.9","87.8","98.6","91.2","86","398","171","351","29",37.7,"2",2.6,1.7
"Vargas, Miguel","678246","76","17.1",39.5,"111.7","88.6","100.5","94.4","79.9","428","190","394","33",43.4,"10",13.2,9
"Stewart, Sal","701398","76","13",40.8,"111.4","91.3","103.2","95.4","85.9","424","189","394","37",49.3,"18",23.7,15.9
"Torres, Gleyber","650402","76","4.3",35.5,"102.1","83.2","94.3","87.4","78.9","397","145","364","18",23.7,"4",5.3,3.4
"Henderson, Gunnar","683002","75","18.4",33.3,"111.2","90.8","101.2","97.2","86.1","410","180","388","38",50.7,"9",12,7.3
"DeLauter, Chase","800050","75","17",33.3,"111.2","89.4","99.9","93.7","89","422","170","381","29",38.7,"8",10.7,8.1
"Arozarena, Randy","668227","75","4.9",33.3,"113","89.4","99.4","93.9","86.8","426","136","387","27",36,"6",8,5.3
"Bohm, Alec","664761","75","10.1",38.7,"108.8","88.8","99.1","92.9","88.1","391","143","354","29",38.7,"1",1.3,1
"Herrera, Iván","671056","75","8.5",32,"111.7","90.1","101.9","96.4","87.4","401","147","391","36",48,"7",9.3,6.1
"Rodríguez, Julio","677594","75","7.2",28,"111.3","87.8","100.1","91.9","85.1","426","135","426","28",37.3,"4",5.3,3.4
"Abrams, CJ","682928","75","14.9",32,"110.8","89.6","101.5","92.9","87.5","426","172","386","35",46.7,"10",13.3,8.8
"Abreu, Wilyer","677800","75","14.9",30.7,"113.1","90.4","102.2","95.5","85.7","403","180","380","37",49.3,"9",12,8.7
"Perez, Salvador","521692","74","16.9",28.4,"108.5","88.1","100.3","91.5","87.3","417","156","395","30",40.5,"7",9.5,6.8
"Pasquantino, Vinnie","686469","74","19.2",31.1,"108.1","89.2","99","93.9","84.9","422","177","391","27",36.5,"6",8.1,5.5
"Lindor, Francisco","596019","74","14.8",31.1,"111.3","90.9","100.3","94.9","87.8","410","173","406","32",43.2,"7",9.5,6.7
"Correa, Carlos","621043","74","7.1",36.5,"113.1","88.5","101.2","93.8","84.7","411","142","402","28",37.8,"6",8.1,5.8
"Semien, Marcus","543760","74","20.9",33.8,"107.5","86.8","97.3","91.5","77.5","407","203","407","25",33.8,"6",8.1,5.9
"Dubón, Mauricio","643289","74","18.3",35.1,"106.3","87.2","97.3","89.9","87.4","413","166","393","23",31.1,"5",6.8,5.1
"Burger, Jake","669394","74","7.1",29.7,"113.6","88.5","102.2","93.9","83.8","438","147","404","34",45.9,"7",9.5,6.4
"Langeliers, Shea","669127","73","19.9",38.4,"112.4","92.5","103.7","93.7","94.1","467","195","411","36",49.3,"9",12.3,8
"Busch, Michael","683737","73","11.8",26,"106","84.1","96.4","89.1","79.6","421","140","398","23",31.5,"5",6.8,4.6
"García Jr., Luis","671277","73","12.3",27.4,"110.9","91.4","100.8","94.4","90","405","149","405","31",42.5,"4",5.5,4.4
"Tucker, Kyle","663656","73","14.7",32.9,"107.2","88","98.1","90.9","84.5","435","172","404","28",38.4,"5",6.8,4.5
"Rocchio, Brayan","677587","73","12",28.8,"108.1","86.3","97.7","89.9","87.5","402","143","379","22",30.1,"2",2.7,2.1
"Perdomo, Geraldo","672695","73","9.7",30.1,"106.3","86.8","96.7","88.5","85.2","398","131","398","19",26,"2",2.7,2
"De La Cruz, Elly","682829","73","13.8",31.5,"112.6","95.8","106.3","96.1","95.5","442","165","394","41",56.2,"11",15.1,9.4
"Young, Jacob","696285","72","9.1",40.3,"107.8","90.1","98.3","90.9","89.1","387","164","383","25",34.7,"4",5.6,4.5
"Story, Trevor","596115","72","10.4",31.9,"109.6","89.2","99.6","92.1","87.2","411","151","407","32",44.4,"3",4.2,2.7
"Adames, Willy","642715","72","23.5",37.5,"107.4","88.4","98.9","93.1","83.4","402","189","375","27",37.5,"8",11.1,7.1
"Meidroth, Chase","805367","71","7.2",28.2,"107.7","88.9","98.5","92.8","86.9","417","132","417","28",39.4,"3",4.2,2.8
"Raleigh, Cal","663728","71","23.7",35.2,"109.6","86.1","98.6","91.5","73.8","418","204","387","21",29.6,"9",12.7,7.6
"Ramírez, Agustín","682663","71","10.5",28.2,"114.9","88.2","100.1","92","88.4","418","141","415","25",35.2,"4",5.6,3.8
"Merrill, Jackson","701538","71","12.6",31,"108.6","88.6","100.7","97.5","80.6","425","160","399","33",46.5,"9",12.7,8.5
"Harris II, Michael","671739","71","7.1",32.4,"114.9","95.4","105.9","99.1","92.4","425","160","391","41",57.7,"14",19.7,15.4
"Neto, Zach","687263","71","22.2",36.6,"107","89.4","99.2","95","79","443","193","397","27",38,"8",11.3,6.3
"O'Hearn, Ryan","656811","70","12",32.9,"108.1","90.6","100.7","94.6","86.1","402","170","385","33",47.1,"6",8.6,6
"Buxton, Byron","621439","70","25",34.3,"109.3","88.3","100.5","94.5","80.3","438","198","408","33",47.1,"11",15.7,9.9
"Bell, Josh","605137","70","16.5",38.6,"107.1","88.3","98.9","93.3","81.6","401","193","392","29",41.4,"6",8.6,5.9
"Wetherholt, JJ","802139","70","14.3",35.7,"107.9","88","98.3","93.9","80.9","425","173","396","27",38.6,"4",5.7,3.5
"Pages, Andy","681624","70","15.4",35.7,"109.2","90.1","102.3","93.3","90.1","412","170","392","39",55.7,"5",7.1,4.9
"Young, Cole","702284","70","19.2",34.3,"111.3","87.3","98.5","91.6","86.3","397","167","381","27",38.6,"4",5.7,3.8
"Greene, Riley","682985","69","13.8",42,"111","89.8","102.7","96.2","82.7","408","192","406","33",47.8,"10",14.5,9
"Alonso, Pete","624413","69","12.9",30.4,"109.5","94.3","102.1","95.9","93.2","410","174","403","37",53.6,"5",7.2,4.3
"McNeil, Jeff","643446","69","10.1",36.2,"105","87.6","97.4","92","84.7","395","139","395","26",37.7,"1",1.4,1.1
"Devers, Rafael","646240","69","13.7",34.8,"110.3","90.8","101.5","94.5","88.1","411","177","408","32",46.4,"6",8.7,5.5
"Crow-Armstrong, Pete","691718","69","20.9",21.7,"111.5","90.6","102.4","93.5","91","399","144","389","32",46.4,"4",5.8,3.7
"Tatis Jr., Fernando","665487","68","4.1",38.2,"113.5","93.7","105.3","98.7","89.5","370","154",,"45",66.2,"9",13.2,8.3
"Jung, Josh","673962","68","11.4",39.7,"107.8","91","100.6","94","87.4","412","166","373","35",51.5,"2",2.9,2.2
"Ohtani, Shohei","660271","68","12.6",36.8,"114.6","94.1","103.5","97","91.1","438","187","403","35",51.5,"15",22.1,12.5
"Cruz, Oneil","665833","68","8.9",36.8,"119","97.3","108.7","102.3","94","444","183","415","44",64.7,"16",23.5,13.7
"Friedl, TJ","670770","68","17.3",20.6,"106.4","86.5","96.5","89.3","85.3","397","136",,"16",23.5,"1",1.5,1
"McLain, Matt","680574","68","23.7",33.8,"110.5","87.8","97.7","89.8","89.1","421","186","420","21",30.9,"7",10.3,6.3
"Durbin, Caleb","702332","68","3.8",19.1,"106","87","97.2","92.2","85.4","372","95",,"22",32.4,"1",1.5,1.1
"Marsh, Brandon","669016","68","11.2",45.6,"108.6","91.6","100.7","92.1","91","454","177","398","34",50,"4",5.9,4.4
"Tovar, Ezequiel","678662","68","15.7",44.1,"108.9","88.3","99.8","93.7","82.6","401","181","401","27",39.7,"6",8.8,5.9
"Smith, Cam","701358","67","9.4",31.3,"112.3","89.2","102.5","93.2","85.7","462","168","403","30",44.8,"10",14.9,9.3
"Varsho, Daulton","662139","66","17.8",34.8,"110.2","85.2","97.5","89.7","82.8","405","168","388","23",34.8,"4",6.1,4.5
"Arenado, Nolan","571448","66","23.2",34.8,"107.5","83.9","95.5","87.1","82.8","411","179","398","17",25.8,"5",7.6,5.7
"Frelick, Sal","686217","66","10.1",24.2,"106.7","85.2","95.8","88.1","85","407","122","407","15",22.7,"1",1.5,1.1
"Gonzales, Nick","693304","66","5.1",30.3,"109.7","87.3","99","92.4","84.2","359","133",,"27",40.9,"1",1.5,1.2
"Aranda, Jonathan","666018","66","16.8",39.4,"107","92.3","100.7","94","90","414","205","396","31",47,"8",12.1,7.1
"Seager, Corey","608369","66","14.5",37.9,"110.3","90.4","101.6","94.8","86.5","422","174","402","29",43.9,"10",15.2,9.3
"Diaz, Yainer","673237","66","7.9",22.7,"108.3","87.7","97.8","91.4","86.4","387","127","380","18",27.3,"3",4.5,3.8
"Caballero, José","676609","65","10.7",33.8,"108.2","84.5","97.3","91.2","78.2","370","124","354","21",32.3,"2",3.1,2.2
"Trout, Mike","545361","65","21.3",36.9,"114.6","91.3","104.1","96.8","82.4","446","224","420","30",46.2,"16",24.6,13.3
"Lowe, Brandon","664040","65","16.5",33.8,"108.9","86.5","99.8","94.6","81.3","444","172","390","26",40,"8",12.3,7.8
"Robert Jr., Luis","673357","65","12.3",21.5,"112.4","90.5","102.4","94.4","88.7","412","146","400","29",44.6,"2",3.1,2.1
"Laureano, Ramón","657656","65","9.7",35.4,"107.3","89.6","101.1","94.3","85.2","423","175","396","32",49.2,"10",15.4,10
"García, Adolis","666969","65","14.4",35.4,"109.5","92.8","101.3","94","93.7","405","167","377","32",49.2,"6",9.2,5.8
"Smith, Will","669257","65","19.4",38.5,"110.8","89.1","98.9","92.3","84.3","418","200","406","23",35.4,"7",10.8,7.9
"Dingler, Dillon","693307","64","9",43.8,"107.6","91.5","101.9","97.7","85.2","433","174","410","35",54.7,"12",18.8,13
"Swanson, Dansby","621020","64","14.3",37.5,"110.3","90.6","100.9","96.9","82.9","424","189","393","33",51.6,"9",14.1,8.3
"Johnston, Troy","687859","64","10.4",46.9,"106.3","89.8","99","94.3","82.7","423","177","415","26",40.6,"2",3.1,2.2
"Jackson, Jeremiah","669236","64","2.9",32.8,"110.4","88.6","99.9","91.8","86.5","427","147","399","22",34.4,"6",9.4,7
"House, Brady","691781","64","3.2",28.1,"113.4","89.1","101.3","92.6","86.4","423","139","388","27",42.2,"7",10.9,6.9
"Reynolds, Bryan","668804","64","8.4",34.4,"109.5","91.5","102.2","95.6","88.1","417","153","405","28",43.8,"6",9.4,5.2
"Turang, Brice","668930","63","9.3",39.7,"109.6","92.8","102.1","97.2","88.4","433","173","401","33",52.4,"6",9.5,5.6
"Mullins, Cedric","656775","63","31.2",23.8,"105.5","88.3","97.6","92.7","84.2","403","192","385","21",33.3,"2",3.2,2.2
"Happ, Ian","664023","63","10.3",31.7,"111.5","89.7","101.3","93.9","84.4","431","168","397","26",41.3,"10",15.9,8.9
"Wood, James","695578","63","8.8",34.9,"116.3","96.9","108.2","103.6","90.5","441","194","404","41",65.1,"19",30.2,14.4
"Lee, Brooks","686797","63","15.6",36.5,"104.1","89.6","97.8","91.6","88.9","383","164","371","23",36.5,"3",4.8,3.4
"Machado, Manny","592518","63","8.4",28.6,"108.5","87.4","99.2","92.4","86.9","403","146","384","24",38.1,"3",4.8,3
"Bauers, Jake","641343","62","10.6",27.4,"112.4","93.2","103.7","97.8","90.1","428","159","395","34",54.8,"6",9.7,7
"Rengifo, Luis","650859","62","4.6",27.4,"107.3","87","98","92.7","82.4","373","138",,"23",37.1,"4",6.5,5.1
"Muncy, Max","571970","62","13.1",32.3,"108.6","92.2","102.5","96.1","87.4","452","189","412","33",53.2,"11",17.7,10.9
"Nuñez, Nasim","683083","62","6.8",32.3,"103.2","84.4","94.2","89.9","79.6","338","141",,"12",19.4,"0",0,0
"Paredes, Isaac","670623","61","27.3",34.4,"105.3","88.5","96.7","91.5","87.5","383","192","379","17",27.9,"2",3.3,2.2
"Vargas, Ildemaro","545121","61","6.8",41,"108.9","87.3","99.2","94.5","80.9","431","154","402","24",39.3,"5",8.2,6.8
"Caratini, Victor","605170","61","10.6",39.3,"106","88.1","97.8","91.7","85.8","423","160","423","21",34.4,"3",4.9,3.6
"Judge, Aaron","592450","61","13.6",34.4,"116.2","92.2","104.7","102.3","84.6","456","189","407","32",52.5,"15",24.6,13.2
"Langford, Wyatt","694671","61","13.2",26.2,"109","90.8","99.8","92.9","91.2","395","142","365","23",37.7,"3",4.9,3.6
"Stanton, Giancarlo","519317","61","21.5",37.7,"116.3","94.1","104.8","97.8","92.2","446","187","410","27",44.3,"11",18,11.5
