"Path","SizeKB","Modified","Category","Decision","Notes"
".agent_tasks\done\phase_1_core_analytics.md","0.9","2026-03-20","","",""
".agent_tasks\done\phase_2_trading.md","0.7","2026-03-20","","",""
".agent_tasks\done\phase_3_tournament.md","1","2026-03-20","","",""
".agent_tasks\done\phase_4_mobile_pwa.md","1.8","2026-03-23","","",""
".agent_tasks\done\phase_5_polish.md","1.7","2026-03-23","","",""
".agent_tasks\oracle_validation.md","1.4","2026-03-20","","",""
".agent_tasks\README.md","0.9","2026-03-20","","",""
".agent_tasks\v9_2_recalibration.md","1.6","2026-03-20","","",""
".claude\agents\cbb-architect.md","0.6","2026-03-04","","",""
".claude\commands\emac.md","0.4","2026-03-04","","",""
".claude\rules\workflow.md","2.9","2026-03-04","","",""
".claude\skills\cbb-identity\SKILL.md","0.8","2026-03-04","","",""
".claude\skills\emac-protocol\SKILL.md","0.7","2026-03-04","","",""
".claude\DISCORD_ERRORS_EXPLAINED.md","2.8","2026-03-07","","",""
".gemini\skills\db-migrate\SKILL.md","1.7","2026-03-25","","",""
".gemini\skills\env-check\SKILL.md","2.2","2026-03-25","","",""
".gemini\skills\health-check\SKILL.md","1.7","2026-03-25","","",""
".gemini\skills\railway-logs\SKILL.md","1.6","2026-03-25","","",""
".openclaw\active-task.md","1.4","2026-03-06","","",""
".openclaw\AUDIT_REPORT_2026-03-11.md","8.8","2026-03-11","","",""
".openclaw\IMPROVEMENTS_SUMMARY.md","8.1","2026-03-11","","",""
".openclaw\README.md","9.7","2026-03-11","","",""
".openclaw\TROUBLESHOOTING.md","8.4","2026-03-11","","",""
"data\projections\README.md","0.1","2026-03-09","","",""
"docs\archive\cheatsheet.md","2.6","2026-03-20","","",""
"docs\archive\CLAUDE.md","17.6","2026-03-28","","",""
"docs\archive\IMPLEMENTATION.md","8.7","2026-03-20","","",""
"docs\archive\QUICKSTART.md","6.3","2026-03-20","","",""
"docs\archive\README.md","1.4","2026-03-20","","",""
"docs\archive\SETUP_FROM_SCRATCH.md","14.9","2026-03-20","","",""
"docs\archive\SKILL.md","1.1","2026-03-04","","",""
"docs\archive\WINDOWS_SETUP.md","8.8","2026-03-20","","",""
"docs\reference\AGENT_TEAM_BEST_PRACTICES.md","12.9","2026-03-20","","",""
"docs\reference\README.md","0.6","2026-03-20","","",""
"docs\superpowers\plans\2026-03-31-fantasy-baseball-perf-fixes.md","24.9","2026-03-30","","",""
"docs\superpowers\plans\2026-04-04-fantasy-edge-decoupling-structural.md","52.3","2026-04-05","","",""
"docs\superpowers\plans\2026-04-09-data-quality-remediation.md","44.2","2026-04-09","","",""
"docs\superpowers\plans\2026-04-09-position-eligibility-remediation.md","41.7","2026-04-09","","",""
"docs\superpowers\plans\2026-04-10-data-quality-fixes.md","29.5","2026-04-10","","",""
"docs\superpowers\prep\tasks-10-11-data-quality-fixes-prep.md","12.2","2026-04-10","","",""
"docs\superpowers\prep\tasks-4-6-quality-prep.md","10.5","2026-04-09","","",""
"docs\superpowers\prep\tasks-7-9-computed-fields-prep.md","16.7","2026-04-10","","",""
"docs\superpowers\specs\2026-03-31-fantasy-baseball-perf-fixes-design.md","7.5","2026-03-30","","",""
"docs\superpowers\specs\2026-04-04-fantasy-edge-decoupling-design.md","22","2026-04-05","","",""
"docs\superpowers\planning-summary-tasks-10-11.md","13.2","2026-04-10","","",""
"docs\analytics-roadmap.md","10.2","2026-04-10","","",""
"docs\BRACKET_PROJECTION_PLAN.md","23.2","2026-03-13","","",""
"docs\CLOSER_SITUATION_SOURCES.md","1.5","2026-03-11","","",""
"docs\DISCORD_CHANNEL_DESIGN.md","12.6","2026-03-11","","",""
"docs\DISCORD_SETUP.md","3.2","2026-03-18","","",""
"docs\DISCORD_SETUP_QUICKSTART.md","5.4","2026-03-11","","",""
"docs\FATIGUE_MODEL.md","5.9","2026-03-10","","",""
"docs\LINEUP_CONFIRMATION_SOURCES.md","1.4","2026-03-11","","",""
"docs\MLB_FANTASY_ROADMAP.md","11.6","2026-03-10","","",""
"docs\OPENCLAW_LITE_PLAN.md","6.1","2026-03-10","","",""
"docs\ops_whip_root_cause_analysis.md","6.7","2026-04-10","","",""
"docs\ops_whip_root_cause_analysis_CORRECTED.md","7.5","2026-04-10","","",""
"docs\ops_whip_root_cause_analysis_FINAL.md","8.5","2026-04-10","","",""
"docs\ops_whip_root_cause_RAILWAY_INVESTIGATION.md","6.6","2026-04-10","","",""
"docs\PROJECTION_DATA_SOURCES.md","1.2","2026-03-11","","",""
"docs\RAILWAY_DISCORD_FIX.md","4.6","2026-03-10","","",""
"docs\RAILWAY_ENV_SETUP.md","2.5","2026-04-03","","",""
"docs\STATCAST_API_GUIDE.md","1.9","2026-03-11","","",""
"docs\task-10-era-investigation.md","6","2026-04-10","","",""
"docs\THIRD_RATING_SOURCE.md","3.6","2026-03-12","","",""
"docs\UAT_MARCH_10_2026.md","5.9","2026-03-10","","",""
"docs\YAHOO_API_REFERENCE.md","2.1","2026-03-11","","",""
"frontend\PHASE4_SPEC.md","13.8","2026-03-20","","",""
"frontend\VALIDATION_REPORT.md","6.9","2026-03-20","","",""
"memory\2026-03-25-il-roster-support.md","4.2","2026-03-25","","",""
"memory\2026-03-27.md","7.3","2026-03-26","","",""
"memory\calibration.md","3.2","2026-03-12","","",""
"memory\delegation_g-29_redis_deployment.md","12.3","2026-04-08","","",""
"memory\delegation_k-30_odds_api_comparison.md","5.1","2026-04-08","","",""
"memory\delegation_k-31_railway_redis_optimization.md","9.4","2026-04-08","","",""
"reports\validation\CLAUDE_HANDOFF_VALIDATION.md","7.5","2026-03-20","","",""
"reports\validation\PHASE_1_FINAL_VALIDATION.md","5.1","2026-03-20","","",""
"reports\validation\PHASE_1_PLUS_VALIDATION.md","5.6","2026-03-20","","",""
"reports\validation\PHASE_1_VALIDATION_SUMMARY.md","4.5","2026-03-20","","",""
"reports\validation\REVALIDATION_REPORT_ALERTS.md","3.4","2026-03-20","","",""
"reports\validation\REVALIDATION_REPORT_CLV.md","3.6","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_2026_03_20.md","6.9","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_ALERTS.md","5.9","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_BET_HISTORY.md","5.8","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_CALIBRATION.md","6.2","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_CLV.md","6.8","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_LIVE_SLATE.md","5.1","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_ODDS_MONITOR.md","6","2026-03-20","","",""
"reports\validation\VALIDATION_REPORT_TODAY.md","4.2","2026-03-20","","",""
"reports\2026-03-06-seed-data-research.md","10.5","2026-03-06","","",""
"reports\2026-03-06-tournament-intelligence.md","16.6","2026-03-06","","",""
"reports\2026-03-07-model-quality-audit.md","12.1","2026-03-06","","",""
"reports\2026-03-16-a26t2-implementation-spec.md","31.7","2026-03-07","","",""
"reports\2026-03-16-project-state-assessment.md","14.4","2026-03-07","","",""
"reports\2026-04-08-balldontlie-mlb-mcp-research.md","14.6","2026-04-08","","",""
"reports\2026-04-08-fantasy-baseball-ui-roadmap.md","17.4","2026-04-08","","",""
"reports\2026-04-08-fantasy-baseball-ui-ux-research.md","26.5","2026-04-08","","",""
"reports\2026-04-08-hybrid-fantasy-betting-edge-framework.md","23.1","2026-04-08","","",""
"reports\2026-04-08-hybrid-implementation-constrained-resources.md","17.2","2026-04-08","","",""
"reports\2026-04-08-redis-railway-architecture-deep-dive.md","69.9","2026-04-08","","",""
"reports\2026-04-08-two-start-detection-uat-checklist.md","5.8","2026-04-08","","",""
"reports\2026-04-08-weather-park-factors-integration-spec.md","18.4","2026-04-08","","",""
"reports\2026-04-08-yahoo-nsb-audit.md","7.2","2026-04-08","","",""
"reports\2026-04-09-comprehensive-status-report.md","8","2026-04-09","","",""
"reports\2026-04-09-data-pipeline-audit.md","20.9","2026-04-09","","",""
"reports\2026-04-09-database-write-path-analysis.md","2","2026-04-09","","",""
"reports\2026-04-09-job-execution-audit.md","1.9","2026-04-09","","",""
"reports\2026-04-09-player-identity-resolution.md","5.8","2026-04-09","","",""
"reports\2026-04-09-sync-job-execution-results.md","9.6","2026-04-09","","",""
"reports\2026-04-09-vorp-implementation-guide.md","18.7","2026-04-11","","",""
"reports\2026-04-09-yahoo-api-parsing-status.md","4.3","2026-04-09","","",""
"reports\2026-04-09-yahoo-game-key-fix.md","2.6","2026-04-09","","",""
"reports\2026-04-09-zscore-best-practices.md","21.8","2026-04-11","","",""
"reports\2026-04-10-bdl-api-capabilities.md","24","2026-04-11","","",""
"reports\2026-04-10-h2h-scoring-systems.md","18.1","2026-04-11","","",""
"reports\2026-04-10-mlb-api-comparison.md","22.1","2026-04-11","","",""
"reports\2026-04-10-revolut-design-implementation-plan.md","28","2026-04-11","","",""
"reports\2026-04-11-orphaned-players-audit.md","1.3","2026-04-11","","",""
"reports\2026-04-11-production-deployment-results.md","2.7","2026-04-11","","",""
"reports\ADVANCED_ANALYTICS_INTEGRATION.md","4.3","2026-03-11","","",""
"reports\AI_ML_RESEARCH_MCP_OPEN_SOURCE.md","20","2026-03-24","","",""
"reports\api_ground_truth.md","22.1","2026-03-18","","",""
"reports\ARCHITECTURE_ANALYSIS_API_WORKER_PATTERN.md","15.6","2026-03-31","","",""
"reports\AUDIT_VERIFICATION_KIMI_MARCH_2026.md","7.2","2026-03-11","","",""
"reports\balldontlie-api-research.md","9.4","2026-03-07","","",""
"reports\BETTING_HISTORY_AUDIT_MARCH_2026.md","4.7","2026-03-11","","",""
"reports\daily_lineup_optimization_research.md","14.8","2026-03-25","","",""
"reports\dashboard-mock-audit.md","15.6","2026-03-28","","",""
"reports\data-quality-fixes-validation.md","9.6","2026-04-11","","",""
"reports\db_null_analysis_20260409_090445.md","0","2026-04-09","","",""
"reports\db_null_analysis_20260409_090555.md","16.3","2026-04-09","","",""
"reports\DISCORD_TOURNAMENT_AUDIT_MARCH_2026.md","5.7","2026-03-18","","",""
"reports\DRAFT_DAY_WAR_ROOM_BLUEPRINT_2026.md","15.5","2026-03-23","","",""
"reports\ELITE_FANTASY_TECHNIQUES_QUANTITATIVE_ANALYSIS.md","19.2","2026-04-07","","",""
"reports\EXECUTION_PLAN_K34.md","2.8","2026-04-11","","",""
"reports\EXECUTION_PLAN_K35.md","4.1","2026-04-11","","",""
"reports\EXECUTION_PLAN_K36.md","3.2","2026-04-11","","",""
"reports\EXECUTION_PLAN_K37.md","3.5","2026-04-11","","",""
"reports\EXECUTION_PLAN_K38.md","5","2026-04-11","","",""
"reports\EXPANSION_ARCHITECTURE_MLB_PGA_BLUEPRINT.md","44.9","2026-03-23","","",""
"reports\FANTASY_BASEBALL_2026_PROJECTIONS_COMPLETE.md","4.4","2026-03-09","","",""
"reports\FANTASY_BASEBALL_ELITE_ROADMAP_v2.md","33.6","2026-03-24","","",""
"reports\FANTASY_BASEBALL_GAP_ANALYSIS.md","16.7","2026-03-25","","",""
"reports\GEMINI_MCP_ANALYSIS.md","11.1","2026-03-31","","",""
"reports\GEMINI_UI_AUDIT2_2026-04-01.md","3.2","2026-04-01","","",""
"reports\GEMINI_UI_AUDIT_2026-04-01.md","3.2","2026-03-31","","",""
"reports\GEMINI_YAHOO_RESPONSES_2026-04-01.md","106.7","2026-04-01","","",""
"reports\K11_CLV_ATTRIBUTION_MARCH_2026.md","8.9","2026-03-12","","",""
"reports\K12_RECALIBRATION_SPEC_V92.md","11.2","2026-03-12","","",""
"reports\K13_POSSESSION_SIM_AUDIT.md","11.9","2026-03-12","","",""
"reports\K14_STAT57_CONFIRMATION.md","4.9","2026-04-01","","",""
"reports\K15_NAME_CONCAT_SPEC.md","7.5","2026-04-01","","",""
"reports\K15_ORACLE_VALIDATION_SPEC.md","17.9","2026-03-23","","",""
"reports\K16_INGESTION_AUDIT.md","9.6","2026-04-01","","",""
"reports\K17_DATETIME_AUDIT.md","8.1","2026-04-01","","",""
"reports\K17_INSEASON_PIPELINE_OVERHAUL.md","34.8","2026-04-01","","",""
"reports\K18_STAT_VALIDATION_SPEC.md","7.3","2026-04-01","","",""
"reports\K19_INSEASON_PIPELINE_SPEC.md","8.8","2026-04-01","","",""
"reports\K20_WAIVER_WIRE_UAT_DEEP_DIVE.md","22","2026-04-01","","",""
"reports\K21_DAILY_LINEUP_UAT_DEEP_DIVE.md","16.2","2026-04-01","","",""
"reports\K22_MATCHUP_UAT_DEEP_DIVE.md","18.4","2026-04-01","","",""
"reports\K23_SETTINGS_UAT_DEEP_DIVE.md","17.9","2026-04-01","","",""
"reports\K24_YAHOO_PLAYER_STATS_SPEC.md","7.7","2026-04-01","","",""
"reports\K25_FANGRAPHS_COLUMN_MAP.md","7.3","2026-04-01","","",""
"reports\K26_MATCHUP_CATEGORY_ALIGNMENT_SPEC.md","8.8","2026-04-01","","",""
"reports\K27_RAW_INGESTION_AUDIT.md","12.8","2026-04-05","","",""
"reports\k6-o8-baseline-spec.md","27.5","2026-03-07","","",""
"reports\k7-health-check-thresholds.md","12.4","2026-03-07","","",""
"reports\KIMI_DESIGN_PHASE2_OPENCLAW.md","14.2","2026-03-24","","",""
"reports\KIMI_OPENCLAW_QUICKREF.md","10.5","2026-03-24","","",""
"reports\KIMI_RESEARCH_MLB_OPENCLAW_PATTERNS.md","14.8","2026-03-24","","",""
"reports\KIMI_UAT_ANALYSIS_2026-04-01.md","16.3","2026-04-01","","",""
"reports\K_A_BDL_STATS_SPEC.md","10.3","2026-04-07","","",""
"reports\K_B_IDENTITY_RESOLUTION_SPEC.md","14.6","2026-04-07","","",""
"reports\MULTI_AGENT_ORCHESTRATION_ANALYSIS.md","14.3","2026-03-25","","",""
"reports\openclaw-capabilities-assessment.md","15.6","2026-03-07","","",""
"reports\openclaw-issue-analysis.md","14.2","2026-03-07","","",""
"reports\OPENCLAW_AUTONOMY_SPEC_v4.md","35.6","2026-03-24","","",""
"reports\OPENCLAW_AUTONOMY_SPEC_v4_MLB_ADDENDUM.md","8.2","2026-03-24","","",""
"reports\OPENCLAW_AUTONOMY_SPEC_v4_PHASE1_NOW.md","7.2","2026-03-24","","",""
"reports\OPENCLAW_DISCORD_ENHANCEMENT_PLAN.md","19.5","2026-03-11","","",""
"reports\OPENCLAW_ORCHESTRATION_WORKFLOW.md","6.3","2026-03-25","","",""
"reports\README.md","0","2026-03-06","","",""
"reports\RESEARCH_PLAN_K34_K38.md","24.9","2026-04-11","","",""
"reports\SCHEMA_DISCOVERY.md","15.7","2026-04-05","","",""
"reports\SPORTSBOOK_FANTASY_BASEBALL_ROADMAP.md","4.7","2026-03-11","","",""
"reports\task-11-validation-report.md","8.1","2026-04-10","","",""
"reports\task-21-orphan-linking-results.md","3.3","2026-04-11","","",""
"reports\tasks-10-11-completion-summary.md","6.4","2026-04-10","","",""
"reports\UAT_ISSUES_ANALYSIS.md","11.6","2026-03-25","","",""
"reports\URGENT_UAT.md","22","2026-03-30","","",""
"reports\yahoo-client-hotfix-march28.md","6.8","2026-03-28","","",""
"reports\YAHOO_FANTASY_API_RESEARCH.md","10.4","2026-03-11","","",""
"reviews\EMAC-087_PEER_REVIEW.md","12","2026-03-26","","",""
"scripts\BACKFILL_README.md","9","2026-04-08","","",""
"scripts\diagnose_backtest_direction.md","9.9","2026-04-10","","",""
"scripts\diagnose_ingestion_logs.md","11.1","2026-04-10","","",""
"scripts\diagnose_probable_pitchers.md","11","2026-04-09","","",""
"scripts\diagnose_statcast.md","11.1","2026-04-10","","",""
"skills\capability-evolver\CONTRIBUTING.md","0.3","2026-03-30","","",""
"skills\capability-evolver\README.md","20.4","2026-03-30","","",""
"skills\capability-evolver\README.zh-CN.md","19.8","2026-03-30","","",""
"skills\capability-evolver\SKILL.md","11.7","2026-03-30","","",""
"skills\cbb-edge-guardian\SKILL.md","1.7","2026-02-28","","",""
"skills\sonoscli\SKILL.md","0.9","2026-03-30","","",""
"skills\yahoo-fantasy-baseball\SKILL.md","15.2","2026-03-30","","",""
"tasks\cbb_enhancement_plan.md","10.8","2026-03-10","","",""
"tasks\CLV_VALIDATION_PICKUP.md","2.4","2026-03-20","","",""
"tasks\lessons.md","4.7","2026-04-03","","",""
"tasks\OPENCLAW_ORCHESTRATOR_SPEC.md","26.9","2026-03-20","","",""
"tasks\todo.md","9.1","2026-04-09","","",""
"tasks\validation-post-fix-report.md","4.7","2026-04-11","","",""
"AGENTS.md","8.2","2026-03-28","","",""
"CLAUDE.md","7.3","2026-04-08","","",""
"CLAUDE_ARCHITECT_PROMPT_MARCH28.md","10.4","2026-03-28","","",""
"CLAUDE_COORDINATION_PROMPT.md","7.9","2026-03-28","","",""
"CLAUDE_FANTASY_ROADMAP_PROMPT.md","14.2","2026-03-28","","",""
"CLAUDE_GEMINI_SKILLS_PROMPT.md","3.3","2026-03-25","","",""
"CLAUDE_K33_MCP_DELEGATION_PROMPT.md","7.5","2026-04-08","","",""
"CLAUDE_K34_K38_KIMI_DELEGATION.md","19","2026-04-10","","",""
"CLAUDE_KIMI_DELEGATION.md","11.3","2026-04-09","","",""
"CLAUDE_LOCAL_LLM_PROMPT.md","3.5","2026-03-25","","",""
"CLAUDE_OPENCLAW_ORCHESTRATION_PROMPT.md","6.4","2026-03-28","","",""
"CLAUDE_PROMPT_K26_MATCHUP_FIX.md","8.4","2026-04-01","","",""
"CLAUDE_RETURN_PROMPT.md","12.2","2026-03-28","","",""
"CLAUDE_TEAM_COORDINATION_PROMPT.md","7","2026-03-28","","",""
"CLAUDE_UAT_FIXES_PROMPT.md","9.6","2026-03-28","","",""
"CLAUDE_UI_UX_ARCHITECT_PROMPT.md","10.7","2026-04-08","","",""
"DAILY_INGESTION_SUMMARY.md","5.3","2026-03-26","","",""
"DESIGN.md","8.4","2026-04-11","","",""
"FRONTEND_MIGRATION.md","8.4","2026-03-20","","",""
"GEMINI.md","2.1","2026-03-25","","",""
"HANDOFF.md","32.1","2026-04-11","","",""
"HEARTBEAT.md","7.4","2026-03-28","","",""
"IDENTITY.md","8","2026-03-28","","",""
"INSTALL.md","10.5","2026-02-16","","",""
"KIMI_K39_K43_DELEGATION.md","17.6","2026-04-11","","",""
"KIMI_RESEARCH_BRIEF.md","6.9","2026-03-09","","",""
"MASTER_DOCUMENT_INDEX.md","5.1","2026-03-28","","",""
"ORCHESTRATION.md","5.5","2026-03-28","","",""
"PARLAY_IMPLEMENTATION.md","10.9","2026-02-21","","",""
"PRODUCTION_DEPLOYMENT_PLAN.md","23","2026-04-11","","",""
"QUICKREF.md","30.2","2026-03-18","","",""
"README.md","8.3","2026-02-05","","",""
"SOUL.md","1.2","2026-03-04","","",""
"SYSTEM_ARCHITECTURE_ANALYSIS.md","10.1","2026-03-26","","",""
"TOOLS.md","0.8","2026-02-28","","",""
"TOURNAMENT_DAY_CHECKLIST.md","4.1","2026-03-18","","",""
"USER.md","0.5","2026-02-28","","",""
